ID;MARCA AC;CLIENTE
14273;HISPACOLD;ABB ELECTRICAL CONTROL SYSTEMS
15278;HISPACOLD;ABB ELECTRICAL CONTROL SYSTEMS
15440;HISPACOLD;NIDEC-USEM
13712;HISPACOLD;WOLONG
11144;HISPACOLD;WOLONG
13487;HISPACOLD;SIEMENS
10991;HISPACOLD;NIDEC-CMD
9880;CAMIONETA;KAYAKU SAFETY
13051;HISPACOLD;VERTIV MONTERREY
10512;EBERSPACHER;UDEM
13180;;WOLONG
14329;HISPACOLD;AXIONLOG MTY
11136;HISPACOLD;WOLONG
15236;HISPACOLD;ABB ELECTRICAL CONTROL SYSTEMS
15229;HISPACOLD;ABB ELECTRICAL CONTROL SYSTEMS
14288;HISPACOLD;SIEMENS
14482;HISPACOLD;VERTIV MONTERREY
5018;EBERSPACHER;MOLDED FIBER GLASS
9882;MERCEDES;KAYAKU SAFETY
14477;;VERTIV MONTERREY
7767;HISPACOLD;WOLONG
15381;HISPACOLD;NIDEC-CMD
13164;HISPACOLD;AMAZON MTY
7882;EBERSPACHER;WOLONG
13713;HISPACOLD;WOLONG
5200;EBERSPACHER;SHERWIN WILLIAMS SANTA CATARINA
16150;HISPACOLD;CELESTICA APODACA
15062;HISPACOLD;ABB ELECTRICAL CONTROL SYSTEMS
16158;HISPACOLD;CELESTICA APODACA
12929;PCM;KAYAKU SAFETY
12933;PCM;KAYAKU SAFETY
10336;HISPACOLD;CELESTICA APODACA
11139;HISPACOLD;KEPLER CONSTRUCTORA
11137;HISPACOLD;KEPLER CONSTRUCTORA
15406;HISPACOLD;NIDEC-USEM
15383;HISPACOLD;NIDEC-CMD
11143;HISPACOLD;NIDEC-COLD
12936;PCM;KAYAKU SAFETY
14223;CONERCION;KAYAKU SAFETY
14286;HISPACOLD;SIEMENS
10331;HISPACOLD;AMCOR MTY
13176;HISPACOLD;AZTEK
5019;EBERSPACHER;KAYAKU SAFETY
13483;HISPACOLD;SIEMENS
11142;HISPACOLD;KEPLER CONSTRUCTORA
11140;HISPACOLD;CELESTICA APODACA
15363;HISPACOLD;KEPLER CONSTRUCTORA
15380;HISPACOLD;NIDEC-USEM
7881;EBERSPACHER;DAWN FOODS
14481;HISPACOLD;NIDEC-CMD
10330;HISPACOLD;SCANPAINT
15441;EBERSPACHER;NIDEC-COLD
6296;HISPACOLD;WOLONG
11141;HISPACOLD;KEPLER CONSTRUCTORA
10469;EBERSPACHER;IAC SANTA CATARINA
9706;EBERSPACHER;CELESTICA APODACA
13465;EBERSPACHER;NIDEC-COLD
14328;;VERTIV MONTERREY
10988;HISPACOLD;SCANPAINT
6301;HISPACOLD;WOLONG
13181;HISPACOLD;IAC
13123;HISPACOLD;IAC
10511;EBERSPACHER;IAC SANTA CATARINA
10470;EBERSPACHER;IAC SANTA CATARINA
10332;HISPACOLD;SCANPAINT
9684;EBERSPACHER;SCANPAINT
9707;EBERSPACHER;KEPLER CONSTRUCTORA
9717;EBERSPACHER;KEPLER CONSTRUCTORA
10987;HISPACOLD;SIEMENS
12938;HISPACOLD;SIEMENS
15410;;VERTIV MONTERREY
5058;EBERSPACHER;GLOBAL FM
5048;EBERSPACHER;AZTEK
15235;HISPACOLD;AMCOR MTY
13715;HISPACOLD;VERTIV MONTERREY
13167;HISPACOLD;PANEL REY
5202;EBERSPACHER;AZTEK
7031;OTRO;CAPACITACION
11135;HISPACOLD;AZTEK
13718;HISPACOLD;AMAZON MTY 2
6302;HISPACOLD;AZTEK
15590;HISPACOLD;WELMON
7030;OTRO;LIEBHERR
12774;HISPACOLD;KAYAKU SAFETY
15465;HISPACOLD;NIDEC-CMD
7291;EBERSPACHER;LIXIL
12773;HISPACOLD;UDEM
7602;EBERSPACHER;WOLONG
